Brand_ID,Brand_Name,Country,Popularity_Score
BRD_001,The Ordinary,Canada,99
BRD_002,CeraVe,United States,98
BRD_003,La Roche-Posay,France,97
BRD_004,Paula's Choice,United States,95
BRD_005,COSRX,South Korea,94
BRD_006,Drunk Elephant,United States,92
BRD_007,Inkey List,United Kingdom,90
BRD_008,Laneige,South Korea,89
BRD_009,Neutrogena,United States,88
BRD_010,Bioderma,France,87
BRD_011,Vichy,France,85
BRD_012,Garnier,France,84
BRD_013,Eucerin,Germany,83
BRD_014,Innisfree,South Korea,82
BRD_015,Clinique,United States,81
BRD_016,Estée Lauder,United States,80
BRD_017,Klairs,South Korea,79
BRD_018,Beauty of Joseon,South Korea,78
BRD_019,Tatcha,Japan,77
BRD_020,First Aid Beauty,United States,76
BRD_021,Summer Fridays,United States,75
BRD_022,Kiehl's,United States,74
BRD_023,Avène,France,73
BRD_024,Glossier,United States,72
BRD_025,Glow Recipe,United States,71
BRD_026,Biossance,United States,70
BRD_027,Shiseido,Japan,69
BRD_028,Clarins,France,68
BRD_029,Mario Badescu,United States,67
BRD_030,Pixi Beauty,United Kingdom,66
BRD_031,Caudalie,France,65
BRD_032,Herbivore Botanicals,United States,64
BRD_033,Youth To The People,United States,63
BRD_034,Sunday Riley,United States,62
BRD_035,Dr. Jart+,South Korea,61
BRD_036,ELF Cosmetics,United States,60
BRD_037,Murad,United States,59
BRD_038,Perricone MD,United States,58
BRD_039,Peter Thomas Roth,United States,57
BRD_040,Ole Henriksen,United States,56
BRD_041,Fresh,United States,55
BRD_042,Dr. Barbara Sturm,Germany,54
BRD_043,Augustinus Bader,Germany,53
BRD_044,Ren Clean Skincare,United Kingdom,52
BRD_045,Omorovicza,Hungary,51
BRD_046,Tata Harper,United States,50
BRD_047,ISDIN,Spain,49
BRD_048,Biodermal,Netherlands,48
BRD_049,Nuxe,France,47
BRD_050,Apivita,Greece,46
BRD_051,Bioré,Japan,45
BRD_052,Neutrogena,United States,44
BRD_053,L'Oreal Paris,France,43
BRD_054,Neutrogena,United States,42
BRD_055,Hada Labo,Japan,41
BRD_056,Banila Co,South Korea,40
BRD_057,Isntree,South Korea,39
BRD_058,Purito,South Korea,38
BRD_059,Naturium,United States,37
BRD_060,Biore,Japan,36
BRD_061,Avene,France,35
BRD_062,A-derma,France,34
BRD_063,Balea,Germany,33
BRD_064,Catrice,Germany,32
BRD_065,Essence,Germany,31
BRD_066,Isana,Germany,30
BRD_067,Missha,South Korea,29
BRD_068,Mizon,South Korea,28
BRD_069,Nature Republic,South Korea,27
BRD_070,Neogen,South Korea,26
BRD_071,Pyunkang Yul,South Korea,25
BRD_072,Secret Key,South Korea,24
BRD_073,Skinfood,South Korea,23
BRD_074,TonyMoly,South Korea,22
BRD_075,Klairs,South Korea,21
BRD_076,EltaMD,United States,20
BRD_077,Paula's Choice,United States,19
BRD_078,RoC,France,18
BRD_079,Sebamed,Germany,17
BRD_080,St. Ives,United States,16
BRD_081,The Body Shop,United Kingdom,15
BRD_082,Weleda,Switzerland,14
BRD_083,Yves Rocher,France,13
BRD_084,Ziaja,Poland,12
BRD_085,Acwell,South Korea,11
BRD_086,Akel,Turkey,10
BRD_087,Babe Laboratorios,Spain,9
BRD_088,Dr. Ceuracle,South Korea,8
BRD_089,Holika Holika,South Korea,7
BRD_090,Kracie,Japan,6
BRD_091,Mediheal,South Korea,5
BRD_092,Melano CC,Japan,4
BRD_093,Naruko,Taiwan,3
BRD_094,Rovectin,South Korea,2
BRD_095,Swisse,Australia,1
