Clinic_ID,Clinic_Name,City
CLN_001,Cabinet Dermatologie Dr. DINESCU,Alba Iulia
CLN_002,Dermamed Center Alba,Alba Iulia
CLN_003,Clinica Medicala Sanatatea Alba,Alba Iulia
CLN_004,MedCenter Alba Iulia,Alba Iulia
CLN_005,Centru Medical Dr. BIRLE,Alba Iulia
CLN_006,Dermatest Arad,Arad
CLN_007,Cabinet Dr. GHITA‚,Arad
CLN_008,Medici's Arad,Arad
CLN_009,Estet Laser Arad,Arad
CLN_010,Policlinica Dorobanti Arad,Arad
CLN_011,Derma Center Pitesti,Pitesti
CLN_012,Clinica Dr. ENE,Pitesti
CLN_013,Medlife Pitesti,Pitesti
CLN_014,Centrul Medical Muntenia,Pitesti
CLN_015,Estetica Pitesti,Pitesti
CLN_016,DermaLife Bacau,Bacau
CLN_017,Clinica Dr. MATEI,Bacau
CLN_018,Centru Medical Precizia,Bacau
CLN_019,Euroclinic Bacau,Bacau
CLN_020,Estetica Bacau,Bacau
CLN_021,Oradea Derma Clinic,Oradea
CLN_022,Clinica Dr. POPA,Oradea
CLN_023,Medica Oradea,Oradea
CLN_024,Bihor Medical Center,Oradea
CLN_025,Skin Center Oradea,Oradea
CLN_026,Cabinet Dermatologie Bistrita,Bistrita
CLN_027,Dermacare Bistrita,Bistrita
CLN_028,Clinica Sanovil,Bistrita
CLN_029,Medicus Bistrita,Bistrita
CLN_030,Estetic Clinique Bistrita,Bistrita
CLN_031,Dermatology Botosani,Botosani
CLN_032,Cabinet Dr. ILIE,Botosani
CLN_033,Clinica Sf. Andrei Botosani,Botosani
CLN_034,MedLife Botosani,Botosani
CLN_035,Centru Medical Botosani,Botosani
CLN_036,Brasov Derma Center,Brasov
CLN_037,Clinica Dr. VINTILA‚,Brasov
CLN_038,Medcenter Brasov,Brasov
CLN_039,Hyperclinica MedLife Brasov,Brasov
CLN_040,Aesthetics Brasov,Brasov
CLN_041,Braila Derma Clinic,Braila
CLN_042,Cabinet Dr. STOICA,Braila
CLN_043,MedLife Braila,Braila
CLN_044,Centru Medical Braila,Braila
CLN_045,Estetic Braila,Braila
