Link_Id,Product_Id,Ingredient_Id
LINK_00001,1,ING_0001
LINK_00002,1,ING_0002
LINK_00003,1,ING_0003
LINK_00004,1,ING_0047
LINK_00005,2,ING_0001
LINK_00006,2,ING_0002
LINK_00007,2,ING_0079
LINK_00008,2,ING_0087
LINK_00009,3,ING_0027
LINK_00010,3,ING_0049
LINK_00011,3,ING_0146
LINK_00012,4,ING_0041
LINK_00013,4,ING_0046
LINK_00014,5,ING_0001
LINK_00015,5,ING_0026
LINK_00016,5,ING_0038
LINK_00017,6,ING_0001
LINK_00018,6,ING_0022
LINK_00019,6,ING_0088
LINK_00020,7,ING_0001
LINK_00021,8,ING_0093
LINK_00022,9,ING_0001
LINK_00023,9,ING_0022
LINK_00024,9,ING_0087
LINK_00025,9,ING_0088
LINK_00026,10,ING_0003
LINK_00027,13,ING_0001
LINK_00028,13,ING_0022
LINK_00029,13,ING_0086
LINK_00030,13,ING_0088
LINK_00031,13,ING_0093
LINK_00032,15,ING_0001
LINK_00033,15,ING_0004
LINK_00034,15,ING_0005
LINK_00035,15,ING_0022
LINK_00036,16,ING_0001
LINK_00037,16,ING_0090
LINK_00038,17,ING_0001
LINK_00039,18,ING_0001
LINK_00040,18,ING_0002
LINK_00041,18,ING_0003
LINK_00042,18,ING_0087
LINK_00043,18,ING_0125
LINK_00044,19,ING_0001
LINK_00045,19,ING_0029
LINK_00046,19,ING_0050
LINK_00047,19,ING_0089
LINK_00048,20,ING_0001
LINK_00049,20,ING_0002
LINK_00050,20,ING_0047
LINK_00051,20,ING_0130
LINK_00052,20,ING_0133
LINK_00053,21,ING_0022
LINK_00054,22,ING_0001
LINK_00055,22,ING_0022
LINK_00056,22,ING_0091
LINK_00057,23,ING_0001
LINK_00058,23,ING_0022
LINK_00059,23,ING_0037
LINK_00060,23,ING_0106
LINK_00061,23,ING_0107
LINK_00062,24,ING_0001
LINK_00063,24,ING_0027
LINK_00064,25,ING_0001
LINK_00065,25,ING_0005
LINK_00066,25,ING_0022
LINK_00067,25,ING_0050
LINK_00068,25,ING_0088
LINK_00069,25,ING_0093
LINK_00070,26,ING_0001
LINK_00071,26,ING_0026
LINK_00072,26,ING_0088
LINK_00073,27,ING_0001
LINK_00074,27,ING_0005
LINK_00075,27,ING_0022
LINK_00076,28,ING_0047
LINK_00077,28,ING_0049
LINK_00078,28,ING_0079
LINK_00079,29,ING_0001
LINK_00080,29,ING_0022
LINK_00081,29,ING_0093
LINK_00082,30,ING_0125
LINK_00083,30,ING_0150
LINK_00084,31,ING_0027
LINK_00085,31,ING_0040
LINK_00086,32,ING_0001
LINK_00087,32,ING_0022
LINK_00088,32,ING_0038
LINK_00089,32,ING_0085
LINK_00090,32,ING_0129
LINK_00091,33,ING_0090
LINK_00092,34,ING_0001
LINK_00093,34,ING_0002
LINK_00094,34,ING_0005
LINK_00095,35,ING_0001
LINK_00096,35,ING_0090
LINK_00097,36,ING_0001
LINK_00098,36,ING_0002
LINK_00099,36,ING_0010
LINK_00100,36,ING_0090
LINK_00101,37,ING_0001
LINK_00102,37,ING_0038
LINK_00103,37,ING_0087
LINK_00104,37,ING_0143
LINK_00105,39,ING_0047
LINK_00106,39,ING_0079
LINK_00107,39,ING_0145
LINK_00108,40,ING_0001
LINK_00109,40,ING_0093
LINK_00110,41,ING_0001
LINK_00111,41,ING_0046
LINK_00112,41,ING_0101
LINK_00113,43,ING_0001
LINK_00114,43,ING_0022
LINK_00115,44,ING_0001
LINK_00116,44,ING_0049
LINK_00117,45,ING_0001
LINK_00118,45,ING_0047
LINK_00119,45,ING_0049
LINK_00120,45,ING_0079
LINK_00121,46,ING_0002
LINK_00122,46,ING_0089
LINK_00123,47,ING_0001
LINK_00124,47,ING_0087
LINK_00125,48,ING_0012
LINK_00126,48,ING_0090
LINK_00127,49,ING_0027
LINK_00128,50,ING_0001
LINK_00129,50,ING_0002
LINK_00130,50,ING_0010
LINK_00131,50,ING_0055
LINK_00132,50,ING_0087
LINK_00133,51,ING_0001
LINK_00134,51,ING_0046
LINK_00135,51,ING_0089
LINK_00136,51,ING_0091
LINK_00137,51,ING_0093
LINK_00138,52,ING_0001
LINK_00139,52,ING_0087
LINK_00140,52,ING_0090
LINK_00141,53,ING_0090
LINK_00142,54,ING_0001
LINK_00143,55,ING_0001
LINK_00144,56,ING_0001
LINK_00145,56,ING_0022
LINK_00146,56,ING_0050
LINK_00147,56,ING_0086
LINK_00148,57,ING_0001
LINK_00149,57,ING_0083
LINK_00150,57,ING_0104
LINK_00151,58,ING_0027
LINK_00152,59,ING_0001
LINK_00153,59,ING_0090
LINK_00154,59,ING_0121
LINK_00155,60,ING_0001
LINK_00156,60,ING_0091
LINK_00157,60,ING_0092
LINK_00158,61,ING_0001
LINK_00159,61,ING_0022
LINK_00160,61,ING_0129
LINK_00161,62,ING_0001
LINK_00162,62,ING_0090
LINK_00163,62,ING_0149
LINK_00164,62,ING_0150
LINK_00165,63,ING_0001
LINK_00166,63,ING_0046
LINK_00167,63,ING_0092
LINK_00168,64,ING_0022
LINK_00169,64,ING_0090
LINK_00170,65,ING_0001
LINK_00171,66,ING_0090
LINK_00172,67,ING_0001
LINK_00173,67,ING_0026
LINK_00174,67,ING_0027
LINK_00175,67,ING_0090
LINK_00176,67,ING_0093
